id	left	target	right	lemma
inzinking/noun/nrc_handelsblad_20020409_5/219	nu blijkbaar ook de krachtigste ondernemingen in de technologiesector . En tenslotte onderstreept de waarschuwing het risico van een verhevigde	inzinking	. Sommige technologiebedrijven , zoals Taiwan Semiconductor , hebben juist onlangs hun investeringsbudget verhoogd op grond van tekenen die wijzen	inzinking
dip/noun/algemeen_dagblad_19990118_95/892	Thom kijkt nog helder uit zijn ogen . 7.15 uur . Het merendeel van het publiek zit in een zware	dip	. Bleke hoofden met kleine ogen vragen aan de bar om koffie en cola . In een hoek van de	dip
inzinking/noun/de_standaard_19990508_01_95/231	Zuidoost-Aziatische munten - - die gekoppeld waren aan de dollar - - ten opzichte van de yen voor een abrupte	inzinking	van de uitvoergroei . De structurele zwakheden in de financiële sector en een gebrekkig prudentieel toezicht zorgden ervoor dat de	inzinking
dip/noun/nrc_handelsblad_20020320_85/318	voorraden uitlokt weer inzakt , valt de hele economie terug . Dan is er sprake van een zogeheten ` dubbele	dip	' . Volgens gisteren gepubliceerde cijfers van het Amerikaanse ministerie van Handel is het Amerikaanse handelstekort in januari met meer	dip
inzinking/noun/nrc_handelsblad_19990715_49/893	, die hij in 1992 in z'n eerste Tour droeg ? \" Het kan , maar alleen als Armstrong een	inzinking	krijgt . \" Tour-directeur Leblanc zou dat als een ` kaakslag ' voor de andere renners beschouwen . Sinds Virenque	inzinking
inzinking/noun/algemeen_dagblad_20020620_146/349	in de jaren 80 is geplaatst - Duran Duran , Echo en The Bunnymen en gesprekken over smurfen begeleiden Donnie's	inzinking	- doet dat ook . En de ontknoping , een wending die voorgaande ontwikkelingen in een totaal ander perspectief plaatsen	inzinking
inzinking/noun/nrc_handelsblad_20011108_5/124	capaciteit elimineren ? De twee genoemde overeenkomsten zijn defensieve fusies van gelijkwaardige partners . Zulke deals worden vaak halverwege een	inzinking	in een bepaalde bedrijfstak nagestreefd om de nieuwe combinatie een goede uitgangspositie te bieden voor het moment dat het herstel	inzinking
dip/noun/nrc_handelsblad_19991211_4/447	van de Veluwse raven is sind 1997 beroerd . Rob Vogel van het Sovon ziet die afname als een tijdelijke	dip	. Hij denkt dat de raven in een omschakelingsfase zitten en nu meer naar de randen van de Veluwe zullen	dip
dip/noun/algemeen_dagblad_20040311_49/141	nu . In de VS draaiden we al ons beste vierde kwartaal ooit \" , zegt hij . Na de	dip	van 2002 gaan de verkoopcijfers inderdaad bergopwaarts . De prognose dat er tot 2010 voor 123 miljard dollar aan corporate	dip
dip/noun/volkskrant_20010705_137/325	niet opgefokt , wel geconcentreerd . Na de homerun tegen Michigan was ik er door . Ik was uit de	dip	. Dat voelde ik gewoon . ' Tegen Taiwan was Isenia de beste slagman met twee uit drie . Aanvallend	dip
inzinking/noun/volkskrant_20000623_114/458	hij openhartig , toch een beetje tegen te staan . Lang wilde hij overigens niet bij de oorzaken van de	inzinking	stil blijven staan , omdat het zijn ideeën over een goede klassering op Wimbledon wel eens lelijk zou kunnen dwarsbomen	inzinking
dip/noun/algemeen_dagblad_20020831_90/103	de orders voor duurzame goederen in de VS , met 8,7 procent , meldden Amerikaanse economen al dat een double	dip	, een nieuwe recessie , niet aan de orde is . Dat valt nog te bezien . Het onlogische gedrag	dip
dip/noun/de_morgen_20040814_01_149/1393	u dat u aanleg hebt tot depressie . Ik kan me niet van de indruk ontdoen dat u in een	dip	zat toen u de songs voor Blackberry Belle schreef . In ' Papillon ' zingt u : ' If down	dip
dip/noun/de_standaard_20011103_01_72/334	scherpe daling van de NAPM , de maandelijkse sfeerbarometer bij de Amerikaanse aankoopdirecteuren , deden de hoop op een kortstondige	dip	van de Amerikaanse economie helemaal wegsmelten . Alles wijst erop dat de Amerikaanse economie ook in het vierde kwartaal van	dip
inzinking/noun/parool_20020624_33/126	, omdat het de eerste keer is dat in Amsterdam kantoren een snelweg ' overkluizen ' . Door de economische	inzinking	en het overschot aan kantoren in de stad verliep de werving van huurders voor het noordelijke gebouw - waarvan de	inzinking
inzinking/noun/algemeen_dagblad_20040213_68/152	verslagen . In feite boezemt niemand mij nog angst in . \" Richard Krajicek kende na Wimbledon '96 een maandenlange	inzinking	. Zo ook Martin Verkerk , na diens sensationele finale op Roland Garros 2003 . Federer daarentegen heeft nergens last	inzinking
inzinking/noun/de_standaard_20000120_01_90/1977	keer naar een psycholoog . Die zomer kijkt hij analyserend terug : eenzaamheid , gebrek aan affectie hadden hem die	inzinking	bezorgd , en ook : \" Sommige mensen voelen en denken meer dan anderen , helaas , en zij lijden	inzinking
dip/noun/algemeen_dagblad_19990629_31/405	graag . \" Rent a friend gaat over de talentvolle kunstenaar Alfred ( Marc van Uchelen ) die in een	dip	zit . Hij schildert alleen nog maar Mexicanen met een hoed van bovenaf gezien . Vriendin Moniek ( Rifka Lodeizen	dip
dip/noun/algemeen_dagblad_20010202_140/1611	gemotiveerd . Als dit een post-Olympisch jaar was , zou het anders zijn . Ik zit mentaal niet in een	dip	. Op de training krijg ik nog steeds de bevestiging van wat ik kan . Ik ga waarschijnlijk ook gewoon	dip
dip/noun/volkskrant_20020704_76/23	Anderhalve maand na de verkiezingen zit de PvdA volgens haar nieuwe leider Jeltje van Nieuwenhoven nog steeds ' in een	dip	' . Maar op tafel ligt nu eindelijk de munitie om haar rol als oppositieleider gestalte te geven : het	dip
inzinking/noun/de_morgen_20000629_01_118/736	allemaal een beperkte impact hebben . Zelfs als de uitvoer wat slabbakt , is er voldoende interne groei om deze	inzinking	op te vangen . Wat de beurs betreft ziet Luc Van Heden de overdrijvingen op de Europese markten wegebben .	inzinking
inzinking/noun/de_standaard_20040217_01_84/72	productie valt te zwak uit om veel mensen aan werk te helpen , en doordat de ondernemingen tijdens de voorbije	inzinking	meer personeel aan het werk hielden dan nodig , hoeven ze vooralsnog niet aan te werven . De hervormingen van	inzinking
dip/noun/het_nieuwsblad_19991222_01_585/225	, papegaaien , marmotten en andere pluizige schepsels aan . Al snel wordt duidelijk dat poppenspeler Craig Schwartz in een	dip	zit omdat met zijn kunst nergens wordt gewaardeerd . Hij besluit een baantje te nemen en reageert , gezien zijn	dip
